budget_million,worldwide_gross_million,genre,director_experience,runtime_min,release_season,sequel,Rating
100,202,4,3,115,2,1,6.1
100,337,3,5,157,1,1,7.2
295,384,0,7,154,0,1,6.5
250,761,0,6,119,0,1,6.2
67,261,1,3,99,0,1,6.6
100,41,4,4,132,0,0,6.5
10,73,1,2,101,0,0,6.6
85,547,2,3,94,2,1,6
140,67,5,5,130,3,0,4.9
180,73,2,4,102,1,0,5.5
150,117,4,3,123,0,0,5.9
195,439,0,3,127,0,1,6
20,297,1,2,109,1,0,6
2,52,1,2,125,1,1,6.7
110,26,0,2,127,3,0,4.6
50,8,0,2,111,0,0,4.3
104,130,0,2,127,0,0,6.1
200,156,4,9,206,1,0,7.6
190,206,4,5,138,1,1,5.2
38,269,1,2,110,1,1,5.9
100,26,0,3,103,1,1,4.4
200,1337,0,6,127,0,1,7.6
250,859,0,6,161,1,1,6.7
200,1699,2,4,100,0,1,7.6
33,6,3,6,134,1,0,6.1
100,453,4,7,104,1,1,6.8
90,14,3,3,138,1,0,6.6
100,690,2,4,140,0,1,8.6
340,704,0,4,141,2,1,5.8
200,271,0,3,144,0,0,6.7
135,571,0,4,115,2,1,6.3
220,206,0,3,105,1,1,5.6
20,66,1,4,111,1,1,5
155,370,0,3,122,0,1,6.5
200,96,0,5,139,3,0,5.7
145,1441,4,5,114,0,0,6.8
65,351,5,3,119,0,1,7.1
35,15,1,2,94,2,0,5
35,91,1,3,95,3,0,5.9
90,204,2,3,105,0,0,6.1
177,1493,0,8,131,0,1,8.2
75,167,0,3,104,2,0,5.1
115,33,0,4,115,0,0,4.4
20,45,6,1,102,0,0,6.1
185,770,0,5,176,2,0,7.8
200,226,2,4,100,0,0,6.1
90,70,3,4,137,2,0,7
125,134,0,3,130,2,1,5.8
350,2320,5,9,192,3,1,7.6
100,1362,2,4,92,2,0,7
78,15,3,5,189,3,0,7.2
8,5,1,1,84,3,0,3
290,567,0,7,163,0,1,7.7
80,100,0,2,116,3,0,3.8
90,239,0,5,126,0,0,7.3
68,171,1,3,130,0,0,6.8
110,405,2,3,122,2,1,6.5
120,11,3,8,138,1,0,5.1
205,297,0,4,124,3,1,5.5
150,1126,2,3,100,1,1,6.5
80,939,2,5,87,0,1,6.5
100,952,3,8,180,0,0,8.3
100,440,0,5,169,2,1,7.7
168,174,0,7,148,2,1,7.5
